Component,Description,Quantity,Link,Price,Shipping,Est. price (exl. GST),Est. price (inc. GST)
Raspberry Pi Zero 2 W,Main controller/computer of the project,1,https://www.aliexpress.com/item/1005007899652009.html,$15.00,$0.00,$15.00,$17.25
"ILI9488 3.5"" SPI TFT Touchscreen","480x320 pixel color LCD with resistive touch input, using SPI interface; displays the clock and all UI elements.",1,https://www.aliexpress.com/item/1005007096645415.html,$12.34,$0.00,$12.34,$14.19
DHT22 Sensor,provides indoor environmental readings,1,https://www.aliexpress.com/item/32759901711.html,$2.05,$0.00,$2.05,$2.36
,,,,,,,
1x14 Pin Socket Header,"Single-row, female 2.54mm pitch header; connects the TFT display module to the PCB.","1 (pack of 10, use 1)",https://www.aliexpress.com/item/4001198421663.html,$1.99,$0.00,$1.99,$2.29
1x6 Pin Socket Header,"Single-row, female 2.54mm pitch header; connects the DAC to the PCB.","1 (pack of 10, use 1)",https://www.aliexpress.com/item/4001198421663.html,$1.70,$0.00,$1.70,$1.96
1x6 Pin Socket Header Right angled,"Single-row, female 2.54mm pitch, right angle header; connects the RTC module to the PCB.","1 (pack of 5, use 1)",https://www.aliexpress.com/item/1005008210852764.html,$1.64,$0.00,$1.64,$1.89
1x4 Pin Socket Header,"Single-row, female 2.54mm pitch header; connects the DHT22 to the PCB.","1 (pack of 10, use 1)",https://www.aliexpress.com/item/4001198421663.html,$1.69,$0.00,$1.69,$1.94
Photoresistor,for automatic display brightness adjustment. 5528,"1 (pack of 50, use 1)",https://www.aliexpress.com/item/1005002145052802.html,$1.66,$1.68,$3.34,$3.84
MCP3008 (DIP),"8-channel, 10-bit ADC with SPI interface; reads analog sensors like photoresistors.",3 (use 1),https://www.digikey.co.nz/en/products/detail/microchip-technology/MCP3008-I-P/319422,$9.36,$0.00,$9.36,$10.76
DS3231 RTC (module),Real-time clock module with battery backup; keeps accurate time when Pi is powered off (or when my internet connection dies),1,https://www.aliexpress.com/item/1005008172587774.html,$1.70,$0.00,$1.70,$1.96
DIP-16 IC socket,For MCP3008 (DIP),"1 (pack of 10, use 1)",https://www.aliexpress.com/item/1005009030108697.html,$0.60,$1.63,$2.23,$2.56
LIR3032 cell,3.6V Lithium Battery Rechargeable Battery ,"1 (pack of 2, use 1)",https://www.aliexpress.com/item/1005009124669879.html,$7.17,$0.00,$7.17,$8.25
micro-USB port,Power input,5 (use 1),https://www.digikey.co.nz/en/products/detail/amphenol-cs-fci/10118193-0001LF/2785388,$2.15,$0.00,$2.15,$2.47
USB-A port,Power output (from battery charger),5 (use 1),https://www.digikey.co.nz/en/products/detail/gct/USB1046-GF-0190-L-B-A/10649632,$3.65,$0.00,$3.65,$4.20
18650 Lithium Battery Charger,5V 2.4A Dual USB OUT,"1 (pack of 2, use 1)",https://www.aliexpress.com/item/1005006839030660.html,$6.77,$0.00,$6.77,$7.79
microSD card,64GB,2 (use 1),https://www.digikey.co.nz/en/products/detail/raspberry-pi/SC1629/24627140,$12.98,$0.00,$12.98,$14.93
Diode,1N4001,100,https://www.digikey.co.nz/en/products/detail/diotec-semiconductor/1N4001/13164614,$4.66,$0.00,$4.66,$5.36
USB speaker,,1,https://www.aliexpress.com/item/1005007586786674.html,$4.66,$0.00,$4.66,$5.36
USB break out cable,"USB-A male, 15cm, black",2,https://www.aliexpress.com/item/1005005187430946.html,$1.98,$0.00,$1.98,$2.28
USB break out PCB,microUSB male,1,https://www.aliexpress.com/item/1005002644969073.html,$0.99,$0.00,$0.99,$1.14
,,,,,,,
,,,,,,,
,,,,,,,
TOTAL,,,,,,$98.05,$112.76
